"Main.group" "Scientific.Name" "Common.name" "Conservation.action.needed" "Avoid.negative.impacts"
"280" "Terrestrial invertebrates" "Euxoa nigricans" "Garden Dart" "-" "-"
"281" "Terrestrial invertebrates" "Euxoa tritici" "White-line Dart" "-" "-"
"282" "Terrestrial invertebrates" "Graphiphora augur" "Double Dart" "-" "-"
"283" "Terrestrial invertebrates" "Hadena caesia" "Grey" "-" "-"
"284" "Terrestrial invertebrates" "Hemaris tityus" "Narrow-bordered Bee Hawk-moth" "-" "-"
"285" "Terrestrial invertebrates" "Hemistola chrysoprasaria" "Small Emerald" "-" "-"
"286" "Terrestrial invertebrates" "Hepialus humuli" "Ghost Moth" "-" "-"
"287" "Terrestrial invertebrates" "Hoplodrina blanda" "Rustic" "-" "-"
"288" "Terrestrial invertebrates" "Hydraecia micacea" "Rosy Rustic" "-" "-"
"289" "Terrestrial invertebrates" "Incurvaria capittella" "Currant-shoot Borer" "Yes" "-"
"290" "Terrestrial invertebrates" "Levipalpus hepatariella" "Mountain Flat-body" "-" "-"
"291" "Terrestrial invertebrates" "Lycia hirtaria" "Brindled Beauty" "-" "-"
"292" "Terrestrial invertebrates" "Macaria carbonaria" "Netted Mountain Moth" "Yes" "-"
"293" "Terrestrial invertebrates" "Macaria wauaria" "V-moth" "-" "-"
"294" "Terrestrial invertebrates" "Malacosoma neustria" "Lackey" "-" "-"
"295" "Terrestrial invertebrates" "Melanchra persicariae" "Dot Moth" "-" "-"
"296" "Terrestrial invertebrates" "Ceramica pisi" "Broom Moth" "-" "-"
"297" "Terrestrial invertebrates" "Litoligia literosa" "Rosy Minor" "-" "-"
"298" "Terrestrial invertebrates" "Leucania comma" "Shoulder-striped Wainscot" "-" "-"
"299" "Terrestrial invertebrates" "Nemapogon picarella" "Pied Clothes" "Yes" "-"
"300" "Terrestrial invertebrates" "Nematopogon magna" "Scarce Long-horn" "Yes" "-"
"301" "Terrestrial invertebrates" "Noctua orbona" "Lunar Yellow Underwing" "Yes" "-"
"302" "Terrestrial invertebrates" "Orthonama vittata" "Oblique Carpet" "-" "-"
"303" "Terrestrial invertebrates" "Orthosia gracilis" "Powdered Quaker" "-" "-"
"304" "Terrestrial invertebrates" "Pelurga comitata" "Dark Spinach" "-" "-"
"305" "Terrestrial invertebrates" "Periclepsis cinctana" "Dover Twist" "-" "-"
"306" "Terrestrial invertebrates" "Perizoma albulata subsp. albulata" "Grass Rivulet" "-" "-"
"307" "Terrestrial invertebrates" "Protolampra sobrina" "Cousin German" "Yes" "-"
"308" "Terrestrial invertebrates" "Rheumaptera hastata" "Argent and Sable" "-" "-"
"309" "Terrestrial invertebrates" "Rhizedra lutosa" "Large Wainscot" "-" "-"
"310" "Terrestrial invertebrates" "Scopula marginepunctata" "Mullein Wave" "-" "-"
"311" "Terrestrial invertebrates" "Scotopteryx chenopodiata" "Shaded Broad-bar" "-" "-"
"312" "Terrestrial invertebrates" "Spilosoma lubricipeda" "White Ermine" "-" "-"
"313" "Terrestrial invertebrates" "Spilosoma luteum" "Buff Ermine" "-" "-"
"314" "Terrestrial invertebrates" "Stilbia anomala" "Anomalous" "-" "-"
"315" "Terrestrial invertebrates" "Swammerdamia passerella" "Scotch Ermel" "-" "-"
"316" "Terrestrial invertebrates" "Synanthedon scoliaeformis" "Welsh Clearwing" "-" "-"
"317" "Terrestrial invertebrates" "Tholera cespitis" "Hedge Rustic" "-" "-"
"318" "Terrestrial invertebrates" "Tholera decimalis" "Feathered Gothic" "-" "-"
"319" "Terrestrial invertebrates" "Thumatha senex" "Round-winged Muslin" "-" "-"
"320" "Terrestrial invertebrates" "Timandra comae" "Blood-vein" "-" "-"
"321" "Terrestrial invertebrates" "Trichiura crataegi" "Pale Eggar" "-" "-"
"322" "Terrestrial invertebrates" "Trichopteryx polycommata" "Barred Tooth-striped" "-" "-"
"323" "Terrestrial invertebrates" "Tyria jacobaeae" "Cinnabar" "-" "-"
